FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS DE NACIMIENTO,CLASE DE EMPLEADO,PROFESION,ESCOLARIDAD,CODIGO DANE,CLASE,MARCA,LINEA,MODELO,COLOR,CANTIDAD,ANIO,MES,UTC DATETIME
2021-01-01,ANTIOQUIA,MEDELLIN (CT),VIERNES,03:00:00,SANTO DOMINGO  1 C-1,URBANA,CARRETERA,SIN EMPLEO DE ARMAS,A PIE,A PIE,25,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,TECNICO MECANICO,SECUNDARIA,5001000,AUTOMOVIL,CHEVROLET,SPRINT,1994,GRIS,1,2021,ENERO,2021-01-01T03:00:00Z
2021-01-01,ANTIOQUIA,MEDELLIN (CT),VIERNES,17:00:00,ARANJUEZ  C-4,URBANA,SOBRE ANDEN - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,26,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,INGENIERIA DEL MEDIO AMBIENTE,SUPERIOR,5001000,AUTOMOVIL,RENAULT,SYMBOL EXPRESSION,2003,BEIGE,1,2021,ENERO,2021-01-01T17:00:00Z
2021-01-01,ATLANTICO,BARRANQUILLA (CT),VIERNES,03:20:00,LOS NOGALES,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,TECNICO,8001000,AUTOMOVIL,MAZDA,3 ALL NEW,2014,BLANCO,1,2021,ENERO,2021-01-01T03:20:00Z
2021-01-01,CAUCA,POPAYAN (CT),VIERNES,04:13:00,PANDIGUANDO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,38,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,19001000,CAMIONETA,NISSAN,FRONTIER,002020,BLANCO,1,2021,ENERO,2021-01-01T04:13:00Z
2021-01-01,CESAR,VALLEDUPAR (CT),VIERNES,07:00:00,VILLA CLARA,URBANA,ALOJAMIENTO,SIN EMPLEO DE ARMAS,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,COMERCIO,SECUNDARIA,20001000,AUTOMOVIL,CHEVROLET,AVEO,2012,AZUL,1,2021,ENERO,2021-01-01T07:00:00Z
2021-01-01,VALLE,CALI (CT),VIERNES,02:00:00,PRIMAVERA E11,URBANA,ZONAS AZULES - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,39,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,CONTADURIA PUBLICA,SUPERIOR,76001000,AUTOMOVIL,KIA,-,2014,GRIS,1,2021,ENERO,2021-01-01T02:00:00Z
2021-01-02,BOLIVAR,CARTAGENA (CT),SABADO,00:00:00,MANGA,URBANA,CALLEJON,SIN EMPLEO DE ARMAS,CONDUCTOR VEHICULO,A PIE,51,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,13001000,AUTOMOVIL,KIA,CERATO FORTE SX,2011,PLATA,1,2021,ENERO,2021-01-02T00:00:00Z
2021-01-02,CESAR,CHIRIGUANA,SABADO,06:00:00,11 NOVIEMBRE,URBANA,CALLEJON,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR VEHICULO,31,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,INGENIERIA AMBIENTAL,SUPERIOR,20178000,AUTOMOVIL,CHEVROLET,B 60,2019,GRIS PLATINO,1,2021,ENERO,2021-01-02T06:00:00Z
2021-01-02,CUNDINAMARCA,BOGOTA D.C. (CT),SABADO,00:00:00,TECHO E-8,URBANA,OTRO,SIN EMPLEO DE ARMAS,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,11001000,CAMIONETA,FORD,F150 SVT RAPTOR,1997,ROJO,1,2021,ENERO,2021-01-02T00:00:00Z
2021-01-02,CUNDINAMARCA,BOGOTA D.C. (CT),SABADO,20:30:00,SUR DE TEUSAQUILLO E-13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,55,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,SIN PROFESION,SUPERIOR,11001000,AUTOMOVIL,NISSAN,TIIDA,2013,NEGRO,1,2021,ENERO,2021-01-02T20:30:00Z
2021-01-02,CUNDINAMARCA,BOGOTA D.C. (CT),SABADO,18:00:00,GIBRALTAR E-19,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,33,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000,AUTOMOVIL,KIA,RIO,2003,PLATA,1,2021,ENERO,2021-01-02T18:00:00Z
2021-01-02,GUAJIRA,FONSECA,SABADO,05:00:00,LAS DELICIAS,URBANA,CARRETERA,SIN EMPLEO DE ARMAS,A PIE,A PIE,34,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,ADMINISTRACION  DE EMPRESAS,SUPERIOR,44279000,AUTOMOVIL,TOYOTA,COROLLA XL,-,PLATA,1,2021,ENERO,2021-01-02T05:00:00Z
2021-01-02,GUAJIRA,HATONUEVO,SABADO,01:00:00,LA UNION,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,EDUCADOR,INGENIERO,SUPERIOR,44378000,AUTOMOVIL,MAZDA,ALLEGRO,-,GRIS,1,2021,ENERO,2021-01-02T01:00:00Z
2021-01-02,NARINO,IPIALES,SABADO,01:00:00,CORREGIMIENTO SAN JUAN,RURAL,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,SIN PROFESION,TECNICO,52356000,AUTOMOVIL,CHEVROLET,SPRINT,-,PLATA NIQUEL,1,2021,ENERO,2021-01-02T01:00:00Z
2021-01-02,NORTE DE SANTANDER,OCANA,SABADO,17:17:00,VEREDA AGUAS CLARAS,RURAL,TRANSPORTE PUBLICO RURAL,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,36,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,ESPECIALIZACION EN DISENO Y EVALUACION DE PROYECTOS,SUPERIOR,54498000,CAMIONETA,NISSAN,D22/NP300,2012,BLANCO,1,2021,ENERO,2021-01-02T17:17:00Z
2021-01-02,VALLE,CALI (CT),SABADO,20:00:00,PASO DEL COMERCIO E6,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,76001000,AUTOMOVIL,MAZDA,3Z6NM5,2005,GRIS,1,2021,ENERO,2021-01-02T20:00:00Z
2021-01-03,ANTIOQUIA,ITAGUI,DOMINGO,07:30:00,TRIANA,URBANA,TALLERES MECANICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,70,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5360000,AUTOMOVIL,CHEVROLET,SAIL,2017,GRIS,1,2021,ENERO,2021-01-03T07:30:00Z
2021-01-03,ANTIOQUIA,MEDELLIN (CT),DOMINGO,18:00:00,LA ISLA C-2,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,AUTOMOVIL,CHEVROLET,SAIL,2018,BLANCO,1,2021,ENERO,2021-01-03T18:00:00Z
2021-01-03,ANTIOQUIA,MEDELLIN (CT),DOMINGO,20:20:00,LOS CERROS EL VERGEL  C-9,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,TECNOLOGO,5001000,CAMIONETA,CHEVROLET,LUV KB 21,1989,BLANCO,1,2021,ENERO,2021-01-03T20:20:00Z
2021-01-03,ANTIOQUIA,MEDELLIN (CT),DOMINGO,10:40:00,ESTADIO C-11,URBANA,FRENTE CONJUNTO - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,59,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,TAXI,HYUNDAI,I 10,2013,AMARILLO,1,2021,ENERO,2021-01-03T10:40:00Z
2021-01-03,CUNDINAMARCA,BOGOTA D.C. (CT),DOMINGO,21:00:00,BOSA E-7,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,11001000,CAMION,CHEVROLET,NHR,2010,BLANCO,1,2021,ENERO,2021-01-03T21:00:00Z
2021-01-03,CUNDINAMARCA,BOGOTA D.C. (CT),DOMINGO,03:00:00,PERPETUO SOCORRO E-8,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,31,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,11001000,AUTOMOVIL,CHEVROLET,CORSA GL,1996,ROJO,1,2021,ENERO,2021-01-03T03:00:00Z
2021-01-03,CUNDINAMARCA,SOACHA,DOMINGO,11:00:00,VILLA SOFIA II,URBANA,BAHIA,SIN EMPLEO DE ARMAS,A PIE,A PIE,22,MASCULINO,-,-,EMPLEADO PARTICULAR,-,-,25754000,AUTOMOVIL,CHEVROLET,AVEO,-,GRIS,1,2021,ENERO,2021-01-03T11:00:00Z
2021-01-03,NORTE DE SANTANDER,TIBU,DOMINGO,11:30:00,BARRIO LOS PINOS,URBANA,CARRETERA,ARMA DE FUEGO,CONDUCTOR VEHICULO,PASAJERO MOTOCICLETA,35,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,54810000,CAMIONETA,TOYOTA,HILUX,2019,BLANCO,1,2021,ENERO,2021-01-03T11:30:00Z
2021-01-03,QUINDIO,ARMENIA (CT),DOMINGO,02:30:00,LA GRECIA,URBANA,BAHIA,SIN EMPLEO DE ARMAS,A PIE,A PIE,32,FEMENINO,CASADO,COLOMBIA,DESEMPLEADO,COMERCIO,TECNICO,63001000,AUTOMOVIL,CHEVROLET,AVEO,2010,BLANCO,1,2021,ENERO,2021-01-03T02:30:00Z
2021-01-03,VALLE,CALI (CT),DOMINGO,18:25:00,LOS GUAYACANES E5,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,CONDUCTOR VEHICULO,45,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,76001000,AUTOMOVIL,KIA,PICANTO LX,2008,GRIS,1,2021,ENERO,2021-01-03T18:25:00Z
2021-01-03,VALLE,LA CUMBRE,DOMINGO,20:00:00,CGTO PAVAS E27,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,45,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SUPERIOR,76377000,CAMIONETA,MAZDA,3,2017,NEGRO,1,2021,ENERO,2021-01-03T20:00:00Z
